Round,Player1,Player1_Deck,Player1_Wins,Player2,Player2_Deck,Player2_Wins,Draws,IsBye,Result
1,Chris Hamilton,Mono-Green Landfall,2,AndrewBergen,Izzet Elementals,1,0,False,Chris Hamilton won 2-1-0
1,Branden Chambers,Dimir Excruciator,1,Philip Silberman,Mono-Green Landfall,2,0,False,Philip Silberman won 2-1-0
1,Jackson Kirkland,Izzet Elementals,0,Greg Schafer,Dimir Midrange,2,0,False,Greg Schafer won 2-0-0
1,Ryan Kenvin,Dimir Midrange,1,Ari Jones,Mono-Green Landfall,2,0,False,Ari Jones won 2-1-0
1,Harrison Harp,Jeskai Control,1,Joseph Puglisi,Temur Rhythm,2,0,False,Joseph Puglisi won 2-1-0
1,SammyGregory,Izzet Spellementals,1,Philip_Waldrop,Izzet Lessons,2,0,False,Philip_Waldrop won 2-1-0
1,a47cc7a64be44be48b628fb38231db82,Bant Airbending,2,Vernon Brewer,Rakdos Monument,0,0,False,a47cc7a64be44be48b628fb38231db82 won 2-0-0
1,DaddyChef,Simic Omniscience,0,Brock Roush,Rakdos Monument,2,0,False,Brock Roush won 2-0-0
1,Jeff Jao,Simic Omniscience,2,Gmj1921,Izzet Spellementals,1,0,False,Jeff Jao won 2-1-0
1,ChaseM,Boros Artifacts,1,Luna Eason,Izzet Lessons,2,,False,Luna Eason won 2-1-0
1,acairns,Gruul Landfall,0,Nick Osterude,Izzet Lessons,2,0,False,Nick Osterude won 2-0-0
1,WeiH,Mono-Red Aggro,1,david Russo,Mono-Green Landfall,2,0,False,david Russo won 2-1-0
1,JohnM1,Dimir Excruciator,2,Richard Brown Jr,Sultai Elementals,0,0,False,JohnM1 won 2-0-0
1,Jacob Koshak,Azorius Tempo,0,Jerry Gao,Bant Airbending,2,0,False,Jerry Gao won 2-0-0
1,CameronTalbot,Mono-Red Aggro,2,Juan Ramos,Dimir Midrange,1,0,False,CameronTalbot won 2-1-0
1,bryanduxbury,Temur Battlecrier Combo,1,Ron Eldred,Dimir Midrange,2,0,False,Ron Eldred won 2-1-0
1,21cb,Bant Airbending,2,Nicholas Castro,Dimir Spellementals,0,0,False,21cb won 2-0-0
1,John Ramsey,Simic Rhythm,2,Michael Belfatto,Azorius Control,1,0,False,John Ramsey won 2-1-0
1,Tyler Gomez,Izzet Elementals,1,Robageddon,Golgari Control,2,0,False,Robageddon won 2-1-0
1,Bryson Horne,Sultai Midrange,0,Matthew Watts,Mono-Red Aggro,2,0,False,Matthew Watts won 2-0-0
1,Skylar Pastor,Izzet Lessons,2,Richard Girges,Azorius Control,1,0,False,Skylar Pastor won 2-1-0
1,Justin Blackburn,Dimir Midrange,0,Jack Rudzena,Mono-Black Midrange,2,0,False,Jack Rudzena won 2-0-0
1,Kristienne Harris,Grixis Reanimator,0,Robert Pounds,Rakdos Monument,2,0,False,Robert Pounds won 2-0-0
